Category,count,mean,median,std
jewelry crafting apps,9,0.2771604938271605,0.2611111111111111,0.10128207632602543
government,24,0.2770833333333333,0.26388888888888895,0.10711801273693738
pilot logbook,12,0.27638888888888885,0.2361111111111111,0.17036510934637944
utilities,37,0.27627627627627627,0.2833333333333333,0.09274661863702598
anniversary reminder,2,0.275,0.275,0.21606040536255622
backup,14,0.2746031746031746,0.23333333333333334,0.1431519140370484
model building tools,10,0.2738888888888889,0.2472222222222222,0.13435947728315434
backpacking planner,11,0.2737373737373738,0.2833333333333333,0.14489440405937581
makeup tutorial apps,10,0.27277777777777773,0.30833333333333335,0.109257689882012
charity,7,0.2722222222222222,0.2444444444444445,0.08654312181887347
land surveying apps,10,0.27111111111111114,0.24444444444444452,0.07679270370005074
air fryer recipe finder,4,0.27083333333333337,0.2666666666666667,0.07729679319792719
flight booking,25,0.27066666666666667,0.2833333333333333,0.14701697782755338
political polling viewer,17,0.2705882352941177,0.2277777777777778,0.12137911074719854
chef knife skills apps,3,0.27037037037037037,0.3,0.05132002392796673
philosophy reference,12,0.27037037037037037,0.2277777777777778,0.13682985521429464
ballet training,17,0.26993464052287586,0.2333333333333333,0.1339116339533687
augmented reality,21,0.2698412698412699,0.2388888888888889,0.16127933199170189
metaverse,11,0.2691919191919192,0.2888888888888889,0.09422732023562953
fan fiction reader,13,0.2688034188034188,0.2333333333333333,0.0965596060379389
choreography planner,14,0.26825396825396824,0.21944444444444444,0.1370290617969917
love,20,0.2680555555555556,0.29166666666666674,0.13700921033528785
climate dashboard,5,0.2677777777777778,0.2,0.14012780762266924
wifi analyzer,12,0.26712962962962966,0.25,0.12068496832145446
motion graphics apps,9,0.26666666666666666,0.2,0.11547005383792514
DIY,23,0.26618357487922706,0.25,0.06727235469885925
idle games,33,0.264983164983165,0.2777777777777778,0.08904592084679565
currency converter,13,0.26452991452991453,0.2777777777777778,0.09822337599714252
gardening planner,5,0.2644444444444444,0.1777777777777778,0.1872724957229998
tide charts,12,0.26435185185185184,0.21388888888888885,0.17776922854022711
factory machine tracker,15,0.26333333333333336,0.25,0.09548446968286141
warehouse scanner,5,0.2633333333333333,0.2222222222222222,0.14383418093394307
app locker,9,0.2623456790123457,0.2444444444444445,0.06191253399408938
icebreaker prompts,4,0.2611111111111111,0.26111111111111107,0.1391479066234756
party game generators,5,0.2611111111111111,0.2111111111111111,0.1497425774660395
gesture control interface,2,0.26111111111111107,0.26111111111111107,0.05499719409228701
court case lookup,19,0.2605263157894737,0.2555555555555555,0.10327116703024006
Android Wear,9,0.26049382716049385,0.2888888888888889,0.0930636167505251
barista training,12,0.2601851851851852,0.21944444444444444,0.10857802806312643
bills,5,0.26,0.2722222222222223,0.039945951138327884
fermentation tracker,8,0.2597222222222222,0.2388888888888889,0.13613945283158718
food allergens checker,7,0.2563492063492064,0.2388888888888889,0.08311258239367728
animation,18,0.25617283950617287,0.2166666666666667,0.0984610869998464
roofing estimator,7,0.25555555555555554,0.3055555555555556,0.10877166781917341
battery saver,21,0.2552910052910053,0.2722222222222223,0.11248424019209616
agriculture tools,18,0.25524691358024687,0.21666666666666667,0.1236029001050831
diplomacy simulators,3,0.2537037037037037,0.2333333333333333,0.07704682986190636
passport photo generator,15,0.2525925925925926,0.2388888888888889,0.14143486586269685
education,9,0.2524691358024691,0.2444444444444444,0.1301444802282526
fuel price checker,10,0.25222222222222224,0.19166666666666665,0.12129841671881411
virtual reality,16,0.2517361111111111,0.23333333333333334,0.12498096562896018
manufacturing monitor,10,0.25166666666666665,0.22499999999999998,0.17617039544274368
stock sentiment tracker,17,0.25163398692810457,0.2333333333333333,0.08527290761252523
music mixing,13,0.25085470085470085,0.2555555555555555,0.09937681731770376
welding simulator,11,0.2505050505050505,0.2333333333333333,0.1355021421509534
tachometer apps,1,0.25,0.25,
visual novels platform,10,0.25,0.25,0.13491856000064437
plumbing calculators,11,0.2494949494949495,0.2333333333333333,0.08185558441753807
